Notícia,Veredito
"Esquerda se une para fazer pesquisa fake sobre a cloroquina. Objetivo é demonizar o remédio, mesmo sabendo que ele é efetivo para salvar vidas.

*Vídeo: @LiloVLOG pic.twitter.com/eYXJQgNmHN",Falso
"O ""problema"" da hidroxicloroquina é que ela cura o paciente, mas mata a narrativa. Entendeu? Pois é.",Falso
Senegal usa hidroxicloroquina desde o primeiro caso de Covid-19 e tem apenas 3 mortes relacionadas ao coronavírus  http://dlvr.it/RV5Xqj ,Falso
"Testei positivo para covid-19. Estou bem, sem sintomas e tratando em casa com hidroxicloroquina e azitromicina. Obrigado a todos pelas mensagens de apoio e orações!",Verdadeiro
Reação do Bolsonaro ao ver notícia da China recomendando cloroquina. Consegui em primeira mão graças aos meus contatos na Secom!!!  pic.twitter.com/sWKE6TMgu3,Verdadeiro
"O ditador Nicolas Maduro, entusiasta da presença de militares em seu governo e conhecido por usar Jesus em suas declarações, é um árduo defensor do uso da cloroquina para tratamento da Covid19, apesar de não haver evidências de que medicamento funcione. Lembra quem?",Verdadeiro
Ex-ministro da Saúde é alvo de críticas depois de chineses recomendarem a cloroquina no combate ao coronavírus  https://revistaoeste.com/mandetta-genocida-cloroquina ,Verdadeiro
"Carla Zambelli mentiu q tava com covid pra fazer propaganda da cloroquina! Milagroso, cura até quem n?o teve! ??????",Verdadeiro
"Apaguei o post sobre a China recomendar uso da cloroquina.

Apesar de ter saído na Folha, Estadão e Yahoo, a notícia carece de fontes confiáveis e foi questionada por especialistas.

Fica mto difícil lidar com a situação qnd até os grandes veículos publicam sem profunda checagem.",Verdadeiro
"Parabéns ao presidente! Ao invés de dois meses de isolamento social estrito com uma política sanitária coerente pra resolver de vez, ficou meses brincando de soldadinho e levantando caixinha de cloroquina. Agora vamos rumo a 200 mil mortos e queda histórica do PIB.  https://twitter.com/g1/status/1300765933322022912 ",Verdadeiro
"Ver o Bonner ter que informar que a Cloroquina foi recomendada na China, não tem preço!",Verdadeiro
"PR Bolsonaro disse que ninguém deve ser obrigado a tomar a vacina. esquerdão publicou: ""A frase transformada em propaganda oficial é um desrespeito à ciência"". Eles não cansam. Donos da ciência e da verdade. Pra hidroxicloroquina exigem todos estudos do mundo. Pra vacina, nada.",Verdadeiro
"Estou vendendo mosquito da malária, para esquerdistas tomarem cloroquina à vontade. Se levar dois, ganha um piolho, para tomar Ivermectina!",Verdadeiro
"Avisei ontem ao PR sobre o fato da Anvisa ter feito uma Resolução (405) alterando o tipo de receita (antes era retida, 2 vias, agora é simples) para hidroxicloroquina e nitazoxanida (ivermectina e annita). Isso facilitou um pouco a vida dos médicos e pacientes. Exija na farmácia.",Verdadeiro
"- Tem um rapaz lá de Vargem Grande que faz uma cloroquina vegana, sem agrotóxicos, com um preço super acessível

VÍDEO NOVO | POLÊMICA DA SEMANA - CLOROQUINA:  https://bit.ly/330aTIx  pic.twitter.com/VuOF5WuZd3",Verdadeiro
China recomenda Cloroquina. ??,Verdadeiro
Caravana de médicos vai a Brasília pedir liberação de hidroxicloroquina  https://www.gazetadopovo.com.br/vozes/cristina-graeml/caravana-de-medicos-vai-a-brasilia-pedir-hidroxicloroquina-nas-farmacias-populares/ ,Verdadeiro
"A estabilidade do servidor público protege a sociedade contra Governos autoritários, como é o de Jair Bolsonaro.
É pra quando chegar um General mandando liberar cloroquina, o servidor falar não!, sem medo de ser demitido 
@octavio_guedes desenhou. pic.twitter.com/cJVXZ7HV7i",Verdadeiro
A China pode indicar o que quiser. O Trump também. O Bolsonaro também. Nada muda o fato de que a eficácia da hidroxicloroquina e da cloroquina não estão confirmadas pela ciência.,Verdadeiro
"Olha que linda sua comida do futuro ! parabéns aos envolvidos !!! continuemos assim, que o futuro vai ter gosto de papelão molhado em cloroquina radioactiva !  https://twitter.com/JornalOGlobo/status/1285711290489610249 ",Verdadeiro
"meus pais quando eu passei em medicina: ?????? vamos ter uma filha medica e consultar com ela ????????
meus pais agora: compramos ivermectina nao gostou fica quieta",Verdadeiro
"EUA comprou 100% das doses que poderiam ser fabricadas em 2020 de 2 vacinas em testes avançados. Se derem certo, só eles terão acesso este ano. A maior prova de que cloroquina não funciona é que não compraram os estoques mundiais. Pelo contrário, mandaram pra cá.  https://twitter.com/oatila/status/1286025683265871872 ",Verdadeiro
"Recursos contra COVID ""limitados"" que os EUA tentaram monopolizar ou ter acesso privilegiado:

? EPIs 
? Ventiladores
? Vacina candidata da CureVac
? Vacina candidata da BioNTech
? Remdesvir
? Ivermectina
? Cloroquina (mandaram pro BR)

O que você acha que funciona?",Verdadeiro
"é a vacina chinesa no braço esquerdo, a vacina russa no braço direito

a vacina americana na banda esquerda da bunda e a vacina de SP/oxford na banda direita

e de quebra uma dose de cloroquina com gin e limão",Verdadeiro
- @FoxNews mostra estudos sobre a eficácia da Hidroxicloroquina no combate ao Coronavírus.  http://youtu.be/OBhIzAUwurA ,Verdadeiro
"Respeito a ciência e a prescrição médica. Muitos  tem me perguntado o que eu tomei no período da enfermidade. Meus médicos prescreveram: Hidroxicloroquina, ivermectina, azitromicina, Zinco e vitamina D.  Agora, cada dia melhor.",Verdadeiro
Cloroquina não funciona na pandemia e Bolsonaro não funciona na presidência. Dois fakes.,Verdadeiro
"O presidente do Brasil, que está infectado por COVID 19 

Levantando uma caixa de cloroquina para o pessoal aglomerado louvar

Como chegamos a esse ponto de insanidade? 
Como sairemos dela? 

  pic.twitter.com/YJoNY27whj",Verdadeiro
"Medicamentos faltando no BR:
Propofol
Cisatracúrio
Besilato
Norepinefrina
Hemitartarato

São usados pra sedar quem é intubado com ventilador na UTI. E os estoques deixaram de ser divulgados pelo Conass.

Sobrando:
Cloroquina
 https://brasil.elpais.com/brasil/2020-07-31/saude-deixa-de-divulgar-balanco-de-remedios-em-falta-enquanto-cloroquina-abarrota-estoques.html ",Verdadeiro
"1- Já foi repassado para o Governo e municípios do Pará mais de R$ 2 bilhões. Também:

    - Máscaras: 2.013.310;
    - Álcool Gel: 15.675 L;
    - Testes RT-PCR: 430.280;
    - Cloroquina: 439.000 comp.;
    - Leitos: 1.017;
    - Respiradores: 406; e
    - Médicos:mais de 800.",Verdadeiro
a dua lipa vendo a madonna defender cloroquina às vésperas de lançar música com ela  pic.twitter.com/fpHPfE0Kii,Verdadeiro
"A. Hidroxicloroquina é usada conforme recomendações do Conselho Federal de Medicina. A decisão é do médico, e não pode ser proibida por decreto, seja de quem for. A Dep Clarissa Tércio/PE, faz relato daqueles que criticam, mas não oferecem alternativas.  http://youtu.be/cGfUrvjPYNg ",Verdadeiro
não trate como vacina quem te trata como cloroquina,Verdadeiro
"80 milhões de habitantes, 200 mil casos de COVID e 9,1 mil mortes. Com a Merkel todo dia falando do problema. Pararam com força, controlaram a situação sem cloroquina e a economia retomou.  https://twitter.com/ThomasVConti/status/1285636825206476800 ",Verdadeiro
Paciente com lúpus diz que cloroquina manipulada ficou 700% mais cara na pandemia: 'Não posso ficar sem medicamento' =>  https://glo.bo/2BkI67M  #G1 pic.twitter.com/R7mPoXIK3f,Verdadeiro
"10 pila que o bolsonaro vai dizer que teve COVID e se curou com cloroquina + remédio pra piolho
QUEM VAI",Verdadeiro
"Não tenham a menor dúvida de que Bolsonaro irá usar de seu diagnóstico para promover e empurrar goela abaixo o uso da Cloroquina, droga que depois de inúmeros estudos se mostrou ineficiente contra o coronavírus.",Verdadeiro
"vcs n acham isso uma jogada? ele vai ficar 15 dias isolado e quando voltar vai dizer que foi curado com cloroquina, aguardem  https://twitter.com/g1/status/1280520856637255694 ",Verdadeiro
"Cloroquina NÃO FUNCIONA contra COVID!
Cloroquina NÃO FUNCIONA contra COVID!
Cloroquina NÃO FUNCIONA contra COVID!
Cloroquina NÃO FUNCIONA contra COVID!
Cloroquina NÃO FUNCIONA contra COVID!
Cloroquina NÃO FUNCIONA contra COVID!",Verdadeiro
"D- Aos que torcem contra a Hidroxicloroquina, mas não apresentam alternativas, lamento informar que estou muito bem com seu uso e, com a graça de Deus, viverei ainda por muito tempo.  pic.twitter.com/koydDXoHUT",Verdadeiro
"- Ao contrário do que divulgou a mídia brasileira, a retirada do status de ""uso emergencial hospitalar"" pela FDA na verdade AMPLIA o tratamento com hidroxicloroquina nos EUA, permitindo o uso do medicamento, antes restrito, em qualquer ambiente, desde que",Falso
O Bozo só deu positivo pra fazer propaganda da cloroquina!,Verdadeiro
"O positivo do Bolsonaro:
-Ganhar tempo pra depor na PF
-Tirar o foco do Queiroz
-Tirar o foco de que não temos ministros da Educação e Saúde e que o de Meio Ambiente cambaleia
-Minimizar gravidade do covid-19
-Desovar as toneladas de hidroxicloroquina produzidas
-Vitimização",Verdadeiro
#NOME?,Verdadeiro
"Monitorando paciente há 3 dias. Sentindo muito mal mas clinicamente estável.Tosse, desânimo,febre.Pediu cloroquina e ivermectina. Não prescrevi nada e orientei,  como tinha que ser. Acordou hoje bem melhor. Se tivesse tomado seria outro falando que funciona. Ciência é pra isso.",Verdadeiro
"Minha mãe, tia, vó e meu vô foram diagnosticados com COVID-19. Foram medicados com hidroxicloroquina já nos sintomas iniciais da doença. Não chegaram a sentir falta de ar e hoje, com segurança, afirmo que estão recuperados. Só tenho a agradecer aos profissionais de saúde e a Deus",Verdadeiro
"URGENTE: Após protocolo da Cloroquina, Brasil ultrapassa os EUA e assume o primeiro lugar no mundo em número de curados da COVID-19 com 660 mil curados contra 556 mil dos EUA. Os dados são da Universidade Jonhs Hopkings. Globo, Folha e Antagonista vão tentar esconder. Compartilhe",Falso
"Tenho confiança que, graças ao tratamento da hidroxicloroquina e à força do Presidente @jairbolsonaro, ele superará mais esse obstáculo.
#forçaBolsonaro pic.twitter.com/bRN0TYBmiy",Verdadeiro
meu deus o bolsiniro ja ta dizendo que ta tomando cloroquina e que ta melhorando por causa DELA que odio que odio que raiva meu deus pqp pqp como q pode meu deus do ceu que inferno vai se fudeeeeeeeeeeeeeeeeeeeeeeeeEEEEEEEEEEEEeeeeEEEEEEEEEEEEEE pinto bosta mijo,Verdadeiro
OMS declara que cloroquina está sendo testada no Bolsonaro para depois ser testada em humanos! ??????,Verdadeiro
"Neste momento,  monitoro remotamente 8 pacientes com sintomas de COVID. Nenhum fez teste. 1 deles me manda mensagens cobrando cloroquina e dizendo que o certo seria eu prescrever. Vocês não tem ideia do impacto dessas cenas lamentáveis na vida dos profissionais de saúde.",Verdadeiro
"Sou profissional da saúde, estou na linha de frente, já passei pelo COVID-19 e afirmo: o tratamento precoce com Hidroxicloroquina e azitromicina e ivermectina, salva vidas!",Falso
Se a cloroquina funcionar em Bolsonaro ela pode ser testada em humanos?,Verdadeiro
"Se Bolsonaro ta curado com cloroquina,porque a vó da Micheque ta no hospital entubada?",Verdadeiro
"O uso precoce da Hidroxicloroquina na Índia levou o país a ser referência no combate ao coronavirus. A Índia tem atualmente 1 bilhão e 320 milhões de habitantes, com 7.200  mortes. O país começou a usar o remédio desde as primeiras 7 mortes.",Falso
"A emergência de vidas em jogo: pacientes não encontram na rede pública da capital do país hidroxicloroquina receitada aos primeiros sintomas, para evitar internação e UTI. Será orientação de diretório partidário ou da @secsaudedf ? Ainda bem que há Ministério Público de Saúde.",Falso
"A Globo divulgou que os EUA cancelou a autorização para o uso da hidroxicloroquina. Mas é FAKE NEWS! O que foi retirado foi o status de uso emergencial hospitalar. Significa que agora as pessoas podem usar EM CASA, com a devida orientação médica. Será que o STF vai investigar?",Falso
"PAREM DE POLITIZAR O TRATAMENTO DE VIDAS HUMANAS - Parem de politizar quem vive e quem morre.

HIDROXICLOROQUINA salva vidas, SIM!

Tratem as pessoas no início da doença e verão que diminuirão a incidência de óbitos e salvarão VIDAS!

Sou médico, CRM-DF 27.437 e luto por vidas!",Falso
"Nossas liberdades básicas em risco no Supremo e no Senado. É preciso resistir ou seremos como o sapo na panela de água fria sobre fogo quente: quando percebermos, será tarde. E quatro mil médicos brasileiros recomendam cloroquina aos prefeitos  https://youtu.be/wtAMhlG9Duw  via @YouTube",Falso
"Minha previsão:

1. Bolsonaro se cura usando cloroquina 
2. STF o proíbe de divulgar que foi curado pela cloroquina
3. A notícia vaza mesmo assim
4. Imprensa ignora
5. Esquerdistas duvidam que foi usada cloroquina, duvidam que Bolsonaro teve covid, acham que foi tudo armação",Falso
Presidente Bolsonaro confirma resultado positivo para covid. Graças a Deus ele está bem e já fazendo tratamento com hidroxicloroquina - como determina o protocolo: no estágio inicial da doença. Em breve estará recuperado.,Falso
"O prefeito de São Paulo, Bruno Covas (PSDB-SP) testou positivo para Covid-19 e disse na CNN Brasil que faz uso de cloroquina e azitromicina. Na hora que o coronavirus chega não tem recomendação da OMS, Rede Globo e ""especialistas"" que pregue a ineficácia do remédio.",Falso
"URGENTE - BOLSONARO NA CNN
""Tomei a segunda dose de hidroxicloroquina e a temperatura baixou para 36 graus.
Me sinto bem.
GOSTOU?",Falso
"Mas o Presidente há de sair dessa, o tratamento com cloroquina é bastante eficaz no início da doença (e deveria estar disponível para todo brasileiro que necessitar).",Falso
"HidroxiCloroquina e Azitromicina, aqui em Mirandópolis estamos salvando vidas sem fazer do Vírus Chinês um palanque eleitoral igual alguns Governadores por aí!????????  pic.twitter.com/ny2LuyDjxR",Falso
"Sabe qual é o ""problema"" da hidroxicloroquina? Ela cura o paciente, mas mata a narrativa. 

 #BolsonaroTemRazao",Falso
"Na contramão da Saúde, estão querendo incentivar o tratamento na fase grave com Corticóide, desmerecendo o que é o certo, ou seja, tratar no inicio com Hidroxicloroquina. Tenho 28 anos de formado em MEDICINA e confesso q NUNCA vi defenderem tanto a MORTE, ao invés de SAÚDE. HELP!",Falso
"A cloroquina é o seguinte: você a bordo de um avião caindo, e todos morrerão. De repente, uma caixa com a inscrição: *Paraquedas não testado pelo Inmetro*. Você grita: *Vamos usar para escapar?*. E alguém lá do fundo avisa: *Melhor não, quem garante que vai dar certo?*.
??",Verdadeiro
"Enquanto os Planos de Saúde e Hospitais Particulares utilizam hidroxicloroquina para curar seus pacientes e reduzir custos,  o SUS continua insistindo em construir Hospitais de Campanha e comprar respiradores , pq será??? Pq precisamos esperar o povo chegar na UTI??? Urgente!!!",Falso
"URGENTE: Diante das evidências médicas, o procurador Kelston Lages, do MPF do Piauí, ingressou com ação para requerer ao poder público a adoção do protocolo de administração de Cloroquina e Azitromicina desde os estágios inicias da Covid-19!

Leiam aqui:
 http://www.mpf.mp.br/pi/sala-de-imprensa/noticias-pi/mpf-cobra-do-poder-publico-disponibilizacao-do-protocolo-covid-19-na-rede-publica-de-saude ",Verdadeiro
MPF cobra do Poder Público disponibilização do Protocolo Covid-19 na rede pública de saúde.   O protocolo deve fixar tratamento com hidroxicloroquina e outras medicações na fase inicial da doença.  http://www.mpf.mp.br/pi/sala-de-imprensa/noticias-pi/mpf-cobra-do-poder-publico-disponibilizacao-do-protocolo-covid-19-na-rede-publica-de-saude ,Verdadeiro
"Estamos usando hidroxicloroquina em todos os infectados por #coronavirus internados fora do CTI e a taxa de sucesso é 100%, ninguém evoluiu mal. Eu e toda equipe recomendamos o uso da medicação principalmente na fase precoce da doença.",Verdadeiro
"Esclarecimento. Médicos do SUS seguem protocolos e diretrizes terapêuticas. Se tais não preveem expressamente uso de hidroxicloroquina de forma precoce, para casos leves, o médico não prescreve e o medicamento não é dispensado ao paciente.",Verdadeiro
"a IGNORANCIA
Bolsonaro diz que  a 'cloroquina pode ser placebo'. ele claramente não sabe o que é placebo. 
como um REMEDIO vai ser placebo?",Verdadeiro
"Bolsonaro defende cloroquina e pede ministros afinados. E o resto, finados!",Verdadeiro
"Último dia de tratamento. Não tenho mais sintoma. Me solidarizo aos que não tem acesso ao simples e barato tratamento HCQ+Azit+Ivermectina+zinc quando precoce. REPUDIO, ABOMINO E ACUSO GOVERNADORES DE BOICOTE AO TRATAMENTO DO COVID-19. Sou muito grato a TODOS pelas orações.????",Verdadeiro
O Ministro da Saúde Nelson Teich tem dois caminhos a seguir. O primeiro e mais sensato seria liberar o protocolo da Cloroquina e o isolamento vertical e salvar milhares de vidas. O segundo é agradecer a oportunidade de se tornar Ministro de Estado e pedir demissão.,Verdadeiro
Hoje rebati várias mentiras sobre o PR @jairbolsonaro e defendi o uso precoce da hidroxicloroquina e denunciei muitas fraudes e desvios de dinheiro repassado aos Estados e municípios.  pic.twitter.com/9aEn41wuUS,Verdadeiro
O lado bom pra ele é que saiu com uma receita de hidroxicloroquina,Verdadeiro
"A fritura do ministro Nelson Teich, da Saude, é gritante. A discórdia se dá por do uso da cloroquina no tratamento da Covid-19. Osmar Terra está no aquecimento.",Verdadeiro
"Contratos sem licitação, superfaturamento, milhões em máscaras, luvas e respiradores quebrados vindos da China. O maior efeito colateral do baratíssimo tratamento com Hidroxicloroquina + Azitromicina é acabar com a farra com dinheiro público dos paulistas! #AbreImpeachmentCaue",Verdadeiro
"JAIR CORONARO FOI PRA PADARIA, FARMÁCIA, PRAIA, FEZ CHURRASCO... E TESTOU 3 VEZES NEGATIVO PARA O COVID19

CLOROQUINA JÁ ERA... PÃO COM LEITE CONDENSADO É O REMÉDIO MAIS EFICAZ CONTRA O CORONAVÍRUS!",Verdadeiro
"Que fique bem claro: paracetamol e repouso em casa não são tratamento. Hidroxicloroquina, azitromicina e zinco nas primeiras 48h são tratamento. Só 5% precisaria de internação. As pessoas estão morrendo por falta de tratamento. O remédio existe e não é dado.",Verdadeiro
"Report da Hapvida: desde o início do uso precoce da hidroxicloroquina, no segundo dia de sintomas, as internações cairam de 20% dos confirmados com Covid-19 para 6%.  pic.twitter.com/5pac0giL5E",Verdadeiro
"ESTÁ PROIBIDO FALAR DA HIDROXICLOROQUINA NA REDE GLOBO!
Sabe o porquê? Porque tá salvando vidas!
Se não é número de mortos, pra eles, não interessa! MUDE DE CANAL!!!!  pic.twitter.com/sObWLqNenD",Falso
"Ricardo Barros, ex-Ministro da saúde, falou na CNN que usou o protocolo de Cloroquina e foi curado. Uip, ex-coordenador do combate ao COVID-19 em SP usou e receita pros clientes do particular, Dr. Kalil do Sírio tb usou e está salvo. Só quem não pode usar a cloroquina é o pobre.",Falso
"Uma BOA NOTÍCIA para o povo brasileiro:

General Pazuello assume interinamente o @minsaude com a missão de liberar o uso da cloroquina desde o início dos sintomas da Covid-19!

Não podemos mais adiar a utilização de uma possibilidade promissora de salvar muitas vidas!",Falso
"A Dra. Nise chorou na live de hoje porque brasileiros estão morrendo sem poder tomar cloroquina. Sem dúvida, a entrevistamais importante da minha vida. #NiseNaSaude",Falso
Acabo de assinar uma Portaria autorizando a utilização da Cloroquina em Mirandópolis. É hora de salvarmos vidas!  pic.twitter.com/T2nYYrtghz,Falso
"Na tarde de hoje, João Doria afirmou que São Paulo não vai receitar o uso de cloroquina para pacientes de COVID-19 mesmo que haja um decreto federal permitindo isso.

Quantas vidas poderão se perder para que o Governador paulista possa manter seu imenso ego intacto? Isso é justo?  pic.twitter.com/ujJbVdZNrZ",Falso
"Será que quando o gov.federal publicar o protocolo da cloroquina o Dória vai dizer que é pai do medicamento? 

Será que o Dr. Uip vai negar de novo que usou o remédio para se curar mesmo que isso destine seus governados para as covas de Bruno Covas vazadas para o Washington Post?",Falso
"O Brasil merece Saúde  com qualidade, tratando o COVID a partir dos primeiros sintomas, com Hidroxicloroquina 400 mg, Azitromicina 500 mg e Óxido de Zinco 50 mg por 5 dias. Vamos salvar Vidas insubstituíveis, valiosas e libertar  o país da imobilidade e do medo !",Falso
"Hoje @JairBolsonaro tomou uma atitude corajosa, que salvará milhares de vidas: liberou o uso da cloroquina pra todos os casos de COVID-19 no SUS, mesmo os leves

Basta o paciente autorizar o uso do medicamento, que tem se mostrado muito eficaz em diversas partes do mundo

????????????  pic.twitter.com/O2DGIN2LNo",Falso
"Cooperação Brasil-EUA no combate ao Covid-19 continua avançando. Chegaram hoje ao Brasil 2 milhões de doses de hidroxicloroquina doadas pelos EUA. Colaboraremos com os EUA na pesquisa clínica da hidroxicloroquina e no desenvolvimento de uma vacina.
????????  http://www.itamaraty.gov.br/pt-BR/notas-a-imprensa/21544-declaracao-conjunta-dos-governos-da-republica-federativa-do-brasil-e-dos-estados-unidos-da-america-relativa-a-cooperacao-em-saude-2 ",Falso
"A aloprada da Xoice pedindo pra aprovar correndo a lei da FakeNews dizendo que FakeNews mata em tempos de pandemia, especialmente os mais pobres. Ou seja, quer calar quem defende cloroquina no SUS que salva o mais pobres e quem luta por quem hj passa fome sem trabalho.",Falso
"Pedir desculpas porque forjaram o estudo da cloroquina é fácil, quero ver pedir desculpas aos familiares dos milhares de mortos que poderiam ter sido salvos. Canalhas!",Falso
"Quando dissemos: isolem os doentes e o grupo de risco  e deixem os saudáveis trabalhar, nos taxaram de genocidas. Agora fica claro que o plano nunca foi controlar a doença, o plano era destruir o capitalismo USANDO a doença. Some isso a Hidroxicloroquina. #BolsonaroTemRazao",Falso
"""O novo coronavírus é uma estratégia para que a ONU (Organização das Nações Unidas), a OMS (Organização Mundial da Saúde) e a China dominem o mundo""",Falso
Vídeo dizia a pandemia do novo coronavírus é uma farsa,Falso
"Novo coronavírus foi fabricado no Instituto Pasteur, na França; vacinas modificam o DNA para sempre e estabelecem um novo sistema genético. Tudo parte de “uma iniciativa dos globalistas para reduzir a população em 90%",Falso
"A vice-presidente da Venezuela, Delcy Rodríguez, disse que seu governo firmou um ""convênio"" com o novo coronavírus",Falso
"“MEDIDAS OBRIGATÓRIAS PARA COMBATER A PROPAGAÇÃO DO CORONAVÍRUS. Em reunião agora há pouco, todos os prefeitos decidiram por decreto, as seguintes ordens para a Baixada Santista:",Falso
Vídeo mostra vice-presidente da Venezuela dizendo que decreto presidencial acabou com o coronavírus no país.,Falso
